C,W(B=10°),W(B=20°),W(B=30°),W(B=40°),W(B=50°),W(B=60°),W(B=70°),W(B=80°)
60,0,0,485334.144171133,1084183.9923008943,1745200.1497346794,2228000.065186358,2458038.3581568836,2866834.2167567466
61,0,0,477312.30091312306,1087647.9378879482,1745221.5612672768,2237502.895204401,2463893.2110260767,2873799.70032315
62,0,0,468823.42921319517,1090723.9776809944,1744929.7606270614,2247171.526001936,2469840.415386203,2880875.6338646463
63,0,0,459544.15309152997,1093046.6957787806,1744537.7282005313,2256879.963031446,2476693.2956872676,2888061.819156218
64,0,0,449413.90587529034,1095337.7404848903,1744035.499010651,2266675.507855019,2484062.230266581,2895457.1589517607
65,0,0,438648.24064368114,1096938.3230811006,1743431.3272644288,2276407.2461957317,2492427.154712907,2903064.7663025707
66,0,0,427374.9868343452,1098206.125701749,1742662.0431049475,2286164.8845867435,2502484.780056143,2911232.290386932
67,0,0,415726.4475940702,1099127.3242094442,1741723.1565654785,2296046.826923144,2513969.458410171,2919573.882280588
68,0,0,403800.4669537775,1099645.0850092513,1740621.5822125077,2305741.37843521,2525595.8627786986,2928041.0929107857
69,0,0,391979.0868808321,1099806.8109232904,1739347.6562430838,2315249.484661059,2537364.221259342,2936633.907035806
70,0,0,379601.53676017595,1099519.8921451352,1737894.0051800169,2324681.4552786048,2549274.778378362,2945352.3153571705
71,0,0,366077.29910082836,1098736.020515781,1736166.8768004952,2334078.7366736536,2561327.7961601294,2954196.3157476275
72,0,0,351775.05115154275,1097531.2936657607,1737889.2845026257,2343519.074729707,2573523.554562581,2963165.9140295302
73,0,0,336975.0756959614,1095837.1886458206,1738309.6616423635,2352950.5427332907,2585862.352692802,2972261.124790226
74,0,0,321666.1221539313,1094193.6951503817,1738308.133252715,2362328.8775123763,2600713.0397173497,2981481.9741180865
75,0,0,306152.90999101504,1092273.5233426222,1737908.2882583248,2372355.8357035965,2616234.630090035,2990828.4968493273
76,0,0,290329.8081105653,1089851.2554232532,1737261.5947770507,2382238.5704875616,2631917.677943029,3000300.7405725364
77,0,0,274104.49284541217,1086916.5775021003,1736513.8048937237,2392150.826136165,2647832.6535373107,3009898.765878827
78,0,0,257699.3114935326,1083515.0312145825,1735394.1558028935,2401935.054038843,2663952.5666930634,3019622.647137991
79,0,0,241237.65611913326,1080129.770304263,1737750.9093069069,2411727.395523016,2680228.2800234864,3029472.4733989104
80,0,0,224420.62464107788,1076129.2148579585,1739553.1997468963,2421719.2289071586,2696649.2387101804,3039448.349277292
81,0,0,207719.60613811458,1071886.1171026954,1740909.918387394,2432501.642652591,2713213.868712862,3049550.3958321693
82,0,0,191041.01946722827,1066988.1242957623,1741660.315752413,2444026.6708365646,2729938.3397863843,3059778.7514325758
83,0,0,174095.67818613249,1060983.1071756436,1742161.404161074,2455438.793400841,2746856.1132617616,3070133.5726157953
84,0,0,157001.39325527457,1054194.476260303,1742539.7632029215,2466414.6669131387,2763949.90519885,3080615.118094641
85,0,0,139982.60913311105,1046950.3654481912,1748166.5145058318,2477115.130251738,2781179.476202084,3091223.4221236487
86,0,0,122832.93006404146,1039321.1738570743,1752071.5315781436,2487888.3373062047,2798551.300220798,3101958.7790851826
87,0,0,105896.16877198056,1031181.8748691881,1755262.6863771125,2498492.7308567176,2816069.743972204,3112821.4266636
88,0,0,88408.66998340697,1022870.0941537904,1756986.0657883047,2508813.6635925435,2834249.288712668,3123811.624925609
89,0,0,70562.56126373977,1014186.9934961001,1757757.7741994974,2519086.46258183,2853041.686860619,3134929.6571570826
90,0,0,0.0,1005123.7308132835,1767549.450135584,2529250.2651584046,2872018.8899210626,3146175.830701097
91,0,0,0,995878.1807187544,1773556.53790611,2539312.4994448647,2890914.286223946,3157550.4777985797
92,0,0,0,986234.2493564383,1779019.8838497305,2549467.120356017,2909798.0045772223,3169076.364900607
93,0,0,0,975981.0181907295,1783329.306518728,2559361.8811004935,2928746.2104071584,3181498.5250139064
94,0,0,0,965049.44599841,1800038.4065779366,2568786.999838916,2947659.014551284,3194062.928158789
95,0,0,0,953606.13379174,1810160.452019022,2578128.139599967,2966643.789211257,3206770.1383836204
96,0,0,0,941907.1545384096,1820196.6313300803,2587451.0073232297,2985920.337685434,3219620.7495817617
97,0,0,0,929737.3348607798,1828629.5972170813,2596593.3252789257,3005313.3730025995,3232615.3862173585
98,0,0,0,917185.5876700507,1835944.5064225146,2605644.943890836,3024724.026967628,3245754.704306212
99,0,0,0,904458.854482867,1842484.6199026518,2614728.591448122,3044224.2667767582,3259039.392456819
100,0,0,0,891979.8919725452,1848241.545887532,2623531.9173497963,3064135.620630514,3272470.1728165234
101,0,0,0,879214.3595230966,1852876.0062184078,2632271.937144187,3084362.744300706,3287062.84630188
102,0,0,0,865461.0497992742,1856512.881695955,2640993.585705466,3104768.873236425,3301916.8283611266
103,0,0,0,850923.7949194956,1859254.9564229548,2649691.6624191278,3125228.640136081,3316935.3423957974
104,0,0,0,835631.5047710728,1861422.4227474881,2658396.90921004,3145744.993497895,3332119.429758048
105,0,0,0,820013.6368791122,1863301.9034989118,2667053.332604934,3166520.5537592648,3347470.172520255
106,0,0,0,804213.5776018794,1864515.425035848,2675647.035710354,3187426.664478738,3362988.6947447313
107,0,0,0,788009.8518604378,1876296.853305959,2684165.2652225215,3208367.7484652735,3379287.738623332
108,0,0,0,771257.9533269417,1885746.0683570737,2692663.8086835733,3229420.5264139,3396675.748132585
109,0,0,0,753950.9684794777,1895018.043264704,2701081.2397189527,3250494.096659329,3414255.175927075
110,0,0,0,735876.421656921,1904452.4175979982,2709477.1990825506,3271610.9318735176,3432027.5743290116
111,0,0,0,717351.6230159753,1912303.0960607494,2717818.3243366256,3292842.4068270344,3449994.548312793
112,0,0,0,698535.0961097773,1918876.903643863,2726148.9033493083,3314161.389691352,3468867.5929871774
113,0,0,0,678767.5829526295,1924507.019568487,2734450.345735711,3335591.7075808705,3489268.012622431
114,0,0,0,658138.0912316452,1929883.5615204633,2746421.362406975,3357118.506219911,3509893.210195134
115,0,0,0,636738.565252889,1934768.8676876351,2758499.6828295994,3378768.0563854636,3530745.376626673
116,0,0,0,615170.5867419534,1938525.7020127196,2770322.817591263,3400551.485758871,3553216.3715807763
117,0,0,0,593309.4009734899,1940985.816996002,2781661.391743269,3423111.0212320248,3577207.536905392
118,0,0,0,570623.0374485846,1942706.6658030713,2792527.0538149094,3446004.6885590204,3601464.4788728626
119,0,0,0,546163.5847189588,1943666.766960391,2803097.6299474537,3469072.0234788866,3625990.2193058375
120,0,0,0,520637.3173760749,1943789.8515353154,2813797.2247582925,3492246.5537865274,3650787.8723438834
121,0,0,0,494097.57242030377,1942900.2839131595,2824186.0559671414,3515463.9412622857,3675860.64780087
122,0,0,0,467154.18859934085,1941306.189035421,2834209.205654008,3538804.6312416596,3701211.854195175
123,0,0,0,440020.6561735635,1940096.5917445228,2843929.910220584,3562281.939567863,3729605.2570434404
124,0,0,0,412770.7702588499,1938285.4075903844,2853450.41801977,3585963.4284835295,3758978.888678169
125,0,0,0,384611.3106190203,1935429.8620797575,2870345.88919497,3612963.0273830197,3788679.585337382
126,0,0,0,355826.5842422695,1931196.8751141338,2884735.230244837,3639726.9907865515,3818711.8583197407
127,0,0,0,326818.62448677374,1926152.2890940264,2898675.683614627,3666445.2081908328,3849080.3583053737
