C,T(B=10°),T(B=20°),T(B=30°),T(B=40°),T(B=50°),T(B=60°),T(B=70°),T(B=80°)
53,0,35.46207603264926,8221.398217448945,13660.67876071954,11919.596998958557,9180.542966594281,6748.487226065248,4951.527392224069
54,0,0,8041.964540763275,13626.272385950111,11968.190092915545,9250.008785974955,6759.219904966423,4957.644192474053
55,0,0,7859.86016137266,13584.338813944316,12017.053391176914,9325.64782052798,6772.538235831902,4963.915117305869
56,0,0,7675.200003337234,13540.89108535862,12067.099782616291,9398.22185887924,6786.649490923585,4970.342582758202
57,0,0,7487.963213691693,13490.915029985146,12115.322228126093,9468.7667078577,6801.363723191763,4976.929122830558
58,0,0,7300.465088969754,13442.5754151195,12158.634513027,9538.57906274405,6816.690282478262,4983.677388948494
59,0,0,7111.600706465241,13391.514970973396,12202.65836139543,9606.81036351907,6832.826569489248,4990.590149456708
60,0,0,6918.965298205928,13354.144822393555,12246.548097960074,9677.127505242384,6852.399556010992,4997.6702890360175
61,0,0,6725.308132343633,13360.315452543968,12289.558762682984,9748.422444685455,6872.716324081193,5004.920808254567
62,0,0,6529.399842852414,13355.431565031091,12330.900453198978,9817.327781235714,6893.787735851191,5012.344823054956
63,0,0,6325.443983168595,13331.598506567123,12373.68346397058,9889.061217470458,6918.152029226636,5019.945564275194
64,0,0,6114.253507488502,13296.9990975018,12417.702652921462,9962.232148465318,6944.6732452389115,5027.966047238785
65,0,0,5898.6244807954745,13247.491806730137,12463.131204826394,10034.666517235235,6974.749206704354,5036.447414771639
66,0,0,5679.376555863052,13193.061721185055,12509.158794983092,10107.991567389481,7010.474975224256,5046.58084032702
67,0,0,5458.567780669562,13128.730078221099,12555.804779437047,10183.424790812709,7051.136807485918,5057.192914269001
68,0,0,5237.6935506067975,13051.61093230171,12603.190915070314,10256.77149545288,7093.051591063505,5068.1368335098505
69,0,0,5014.2408633675595,12963.903049488283,12651.231821088168,10328.38918479929,7136.235876091558,5079.417247286182
70,0,0,4786.057123213077,12866.486616949614,12699.981550585922,10399.751131759393,7180.706457054557,5091.038942891538
