C,W(B=10°),W(B=20°),W(B=30°),W(B=40°),W(B=50°),W(B=60°),W(B=70°),W(B=80°)
58,0,33590.036049811526,338798.9756104782,654788.8610944208,992172.9091671882,1196609.7894428042,1379431.0832891108,1559943.6749959046
59,0,0.0,334567.0678718245,651692.1688200786,992445.8789976997,1200806.50403161,1382360.3132466474,1563726.5509400172
60,0,0,330093.6813588226,648460.0577222811,992534.6762573326,1205355.7735377934,1385308.3794673176,1567552.6026459718
61,0,0,325387.2129519707,645348.787117275,992452.2965177422,1210417.3449831803,1388290.6073272475,1571434.644786236
62,0,0,320561.9255777097,641936.0061447255,992215.5491524645,1215339.5035587996,1391287.5569840255,1575874.8535860078
63,0,0,315627.4201698595,638298.4268973253,992008.5873056231,1220205.9554962874,1394299.0007602817,1580349.8365692066
64,0,0,310419.87296316616,634558.8609526425,992450.4070384736,1224986.3975003501,1397327.4973419546,1584845.5307950536
65,0,0,305323.6106842727,632438.7770837585,993176.975112478,1229710.077750217,1400830.237704871,1589370.580781077
66,0,0,300077.24370290915,630891.891718562,993662.4889045225,1234280.6726629212,1404391.382505337,1593929.5940288182
67,0,0,294240.42641832127,628965.9403838926,994002.5831680625,1238723.207264023,1408494.982773994,1598503.027030444
68,0,0,287989.89747487387,626773.3061371872,994227.9655628197,1243051.3546581308,1412722.818803174,1603088.9371008268
69,0,0,281490.2662528482,624301.3662361967,994324.3140535615,1247283.4231570852,1416935.8395601788,1607683.248610829
70,0,0,274775.0352631878,621668.5063466945,994519.6678081627,1251300.2754914335,1421104.742215086,1612288.7298631382
71,0,0,267914.35918836313,618686.8095650644,994588.0109229867,1255153.9980910579,1425227.7398827865,1616915.0656501814
72,0,0,260783.2764558479,615314.6900583894,994458.5721175631,1258941.4607775188,1429278.1902800456,1621565.0627894022
73,0,0,253577.2674710559,611710.8386390534,994123.906853545,1262686.3837710791,1433273.5701614984,1626228.447775791
74,0,0,246252.1653677017,608243.5725396016,993675.2834872885,1266447.7706131218,1437258.582651407,1630914.1215968889
75,0,0,238692.54601586572,604351.3107789377,993083.6871118061,1270079.9029905295,1441213.8397888327,1635623.738389107
76,0,0,231043.6924539136,602953.9162925888,992338.3660421653,1273669.1099477257,1445133.0230714942,1640366.4876415553
77,0,0,223324.97229370518,601532.1923665705,991298.2883779762,1277218.2463738855,1449190.5193033821,1645578.8131272453
78,0,0,215720.07772701408,599623.1177958217,989799.8455046876,1280805.3636438556,1454102.320039525,1650852.4375006643
79,0,0,207934.2100759912,596819.7686066738,990011.0424070037,1284315.1553922652,1459117.7890666388,1656148.8533259013
80,0,0,199324.250221374,593895.5797201918,990541.9075796762,1288800.8418124695,1464055.610546065,1661477.0489743687
81,0,0,190355.91898588953,590489.1596059056,990850.7800878971,1293695.041531672,1468965.7272344537,1666837.8491538921
82,0,0,180900.88175975787,586544.2935784628,990720.9026010097,1298420.310438137,1473872.8138205495,1672233.118490315
83,0,0,171157.76510007633,582257.7473672768,990332.556436604,1302948.293394592,1478777.743987784,1677679.9456749898
84,0,0,161321.61497930693,578068.0152177403,989765.2786446927,1307360.8408166806,1483725.2420258976,1683135.880420087
85,0,0,151504.48789762345,573565.3959275022,989149.656858569,1311768.315497559,1488633.9162528713,1688620.4598530289
86,0,0,141230.46904834593,568670.9258586316,988250.3611685007,1316062.500374766,1493530.201982016,1694136.4141145032
87,0,0,130603.37051343701,563935.9996659162,986654.0955650397,1320134.844052684,1498434.854701038,1699698.3682414151
88,0,0,119629.5256784513,564767.9241811968,984683.8756485786,1324003.1756196166,1504028.5447493952,1705288.7506886544
89,0,0,108389.23756972911,562532.747442949,982451.5005277039,1327667.477734378,1510233.8888456342,1710899.6715471747
90,0,0,97040.55430571546,559833.011373267,979933.9661238606,1331263.9186824406,1516441.1522452224,1716539.4493081956
91,0,0,85559.74666461784,556447.4769228614,976976.662117752,1334704.6556173996,1522665.3447347993,1722205.1031735514
92,0,0,0.0,552643.4159740856,973715.0050636062,1337977.186960364,1529808.0439578712,1728432.324243758
93,0,0,0,548611.7717857667,970259.2971012949,1341047.8601823417,1537145.7673519214,1734838.287877483
94,0,0,0,544386.982820831,969556.1220077593,1343977.8350735337,1544394.0737511741,1741277.4740035858
95,0,0,0,539628.8086637908,968631.8670573973,1346788.65733155,1551573.7772123022,1747741.3366857679
96,0,0,0,534770.1045944934,967455.4388504265,1349502.537122853,1558700.9137270455,1754238.8381804638
97,0,0,0,529793.9723894913,965872.6009573865,1352400.4892888952,1565783.3974771125,1760768.9816925526
98,0,0,0,524557.8697606,964527.7156375814,1354876.1276513224,1572918.1553124478,1767330.8430263025
99,0,0,0,519142.05430921505,962861.9279380848,1357063.4294222624,1580919.0407001532,1773923.2432552096
100,0,0,0,513981.9939072263,961042.4292622539,1360839.1046182085,1589428.997476675,1781173.602756574
101,0,0,0,508095.5185373144,959144.3841515525,1364759.4513353726,1597831.3058744832,1788466.3755690816
102,0,0,0,501654.8715422106,956994.7816327767,1368489.9675334052,1606108.1126363657,1795740.5540586803
103,0,0,0,494889.90749914874,954498.0950834606,1372134.7189744394,1614294.3663146324,1803009.2887350502
104,0,0,0,487968.478770695,951842.0228108932,1375473.6306465394,1622413.1957492472,1810273.2382244726
105,0,0,0,480351.7182683123,948753.3203216902,1378586.8359488985,1630478.554653418,1817544.7305018897
106,0,0,0,471962.70255391643,945285.6888894635,1381672.2902279724,1638481.8058830716,1824814.068606829
107,0,0,0,462854.72948651947,941524.8908077406,1384784.4768150523,1646365.7018326123,1832836.543114213
108,0,0,0,453514.12177925056,937488.5305996895,1387555.9753164093,1654149.7205753976,1841014.2332638914
109,0,0,0,443712.8124872981,937690.3074955576,1390262.3803170344,1661820.3415050753,1849179.7255635608
110,0,0,0,433395.00680964,936298.1216707786,1392813.7832500958,1669369.9174271745,1857332.4150200346
111,0,0,0,423218.5148894687,934225.3959812871,1395289.393560673,1677064.0510036724,1865465.5544757391
112,0,0,0,412691.55566474376,931796.6088435221,1397569.3936947167,1684705.2612940355,1873573.0108463098
113,0,0,0,402750.9944003892,929267.8291129265,1399609.256236818,1692217.702100317,1881673.2618624228
114,0,0,0,393429.6963061133,926343.0000970612,1401515.4354013372,1699699.132535697,1889765.9848379358
115,0,0,0,381835.99383278517,923386.0830351037,1403219.728816956,1707135.9344115711,1897845.879099916
116,0,0,0,370040.3424116481,920426.3734460403,1404661.9773548865,1714538.0774895546,1905900.7196157766
117,0,0,0,357843.70334063686,917024.4306252677,1406007.8398165733,1721898.495526433,1913953.2553942068
118,0,0,0,345541.5719150054,913150.0257043273,1407327.0120089406,1729361.2687865417,1921977.916902891
119,0,0,0,333338.5037866893,908807.9649599082,1408435.696484788,1737545.1098477177,1929954.977416647
120,0,0,0,321070.4264102979,904480.3708654516,1412340.2274905357,1746884.9308781226,1937943.1991980942
121,0,0,0,308803.32573357335,899805.738460474,1416565.8901227505,1756011.1122875647,1945944.1682723437
122,0,0,0,296383.0407688638,894793.2386329789,1420287.136069926,1765069.195818905,1954889.8848048972
