Alpha,Cl,Cd
-1.6000000000000245,-0.16903032258064743,0.009861419354838715
-1.5000000000000244,-0.1595645161290345,0.009837419354838716
-1.4000000000000243,-0.15060451612903436,0.009850580645161288
-1.3000000000000242,-0.14164451612903434,0.009863741935483868
-1.2000000000000242,-0.1321606451612926,0.009885677419354831
-1.100000000000024,-0.12215290322580875,0.009916387096774186
-1.000000000000024,-0.11214516129032491,0.009947096774193542
-0.900000000000024,-0.09492322580645565,0.009993935483870956
-0.800000000000024,-0.07770129032258472,0.010040774193548378
-0.700000000000024,-0.06023419354839127,0.010085290322580636
-0.6000000000000241,-0.04252193548387512,0.010127483870967733
-0.5000000000000241,-0.024809677419359022,0.01016967741935483
-0.4000000000000241,-0.005410967741940054,0.010208903225806443
-0.30000000000002414,0.013987741935479248,0.010248129032258056
