C,W(B=10°),W(B=20°),W(B=30°),W(B=40°),W(B=50°),W(B=60°),W(B=70°),W(B=80°)
35,23162.70542373733,270707.72864482924,567961.0749926199,1006182.350055158,1452059.5858530907,1716775.2326305897,2058855.1767324028,2331328.939436641
36,18951.54585349173,267373.58558343654,569286.3312145515,1004072.1284964754,1453495.3694706666,1719114.896446488,2060550.8846962329,2334597.482543941
37,14687.428068151958,263811.80557528243,570780.399180653,1001908.4637785768,1454900.8181770847,1721487.933147256,2062297.5158888667,2337951.9900828027
38,0.0,260029.6276098948,571952.1648596077,999322.1812988797,1456322.1783993691,1723894.397503041,2064118.8916922943,2341392.776048335
39,0,256046.7055744467,572670.9253069645,996604.4612418237,1458072.2813142266,1726334.2917105148,2066010.6415905312,2344920.1017311173
40,0,252006.88609837816,573036.7740402237,993666.30230069,1459839.4812003723,1728807.6025389833,2067954.9536384994,2348534.179395706
41,0,247914.35716933716,573850.2225552531,993368.2561464313,1462051.49249835,1731314.3022634655,2069952.2781573732,2352235.1758104
42,0,243718.7081742618,574222.9485523362,992204.5675353003,1464551.6794648464,1734567.0412632753,2072003.0343089472,2356023.2156250942
43,0,239384.08647519158,574297.2743156428,990687.9338566767,1467143.5887136161,1738758.076490191,2074107.6120282067,2359898.384596083
44,0,234995.91941610354,574194.2196744482,989094.75438338,1469620.0517755328,1742992.8504405592,2076392.566583392,2363860.7326583667
45,0,230023.17377146592,573729.5251725523,987164.0794125845,1472052.6196365186,1747271.1315750002,2079085.612874755,2367910.2768474203
46,0,224971.01649629656,572989.952886039,985253.1497802802,1474428.9613057259,1751592.688274117,2081839.3183905575,2372047.0040734634
47,0,220047.89654922753,572066.8018522678,983034.5831359951,1476702.48561679,1755957.2897230443,2084654.0131329272,2376270.873752122
48,0,215219.09001407583,571409.7925232947,980628.1052808387,1478798.0818217213,1760364.7068396208,2087530.0446947203,2380581.820296087
49,0,210442.40717468283,570910.8076312743,977903.9482003667,1481127.6609514258,1764814.713094071,2090467.7201004152,2384979.7554727844
50,0,205349.18083528083,569902.4146979378,975089.8970420511,1483232.8401032141,1769569.1481227016,2093467.337323958,2389464.570633476
51,0,199653.14830351694,568843.9164253665,973712.9106393046,1485221.2343033182,1776352.9287588152,2096529.1808800036,2394036.1388194063
52,0,193898.56769843248,567467.097136672,972506.9721354243,1487457.228281971,1783186.2179468696,2099649.706732849,2398694.3167507173
53,0,188146.38373472512,565611.989324507,971886.5285244315,1489760.8780858442,1790068.4873005215,2102830.7855947707,2403438.9467039322
54,0,182210.51029676216,563595.9705746445,970828.8123598128,1492393.0264957002,1796999.229082143,2106073.4505955745,2408269.896361168
55,0,175774.95717817277,560667.7678268283,969054.2104702131,1495194.1597758695,1803977.950483624,2109504.347021914,2413210.634849525
56,0,168418.51158618514,557369.2537700845,967003.9501326968,1497840.4447883116,1811004.174965013,2113615.9156591627,2418254.5875505055
57,0,160862.29945777263,553875.4703089619,964576.8716333364,1500327.01259196,1818066.6126831847,2117796.827639152,2423449.940748722
58,0,153367.06183025672,550434.0673554457,961882.0607286735,1502900.2272312462,1825172.879140323,2122047.1998612178,2429002.2971613263
59,0,145946.9232349792,546963.3655054297,958820.4060861443,1505286.630975107,1832323.7112229923,2126367.1441361946,2434647.6758152978
60,0,138366.64691248888,543210.1494986281,955752.1873043329,1507400.178754107,1839518.7006321333,2130755.455140017,2440386.030523337
61,0,130582.07013495945,539648.1926026134,952598.3291253861,1509383.3362940045,1846757.369392549,2135212.5762133603,2446217.3124645725
62,0,122414.61461128067,535433.2696410352,949611.2850920598,1511138.044839613,1854039.25571176,2139739.0851548323,2452356.205301834
63,0,114560.72996473407,530951.3752663434,952212.4283214223,1512720.4034380568,1861363.9142190123,2144334.9174220026,2458749.0318925334
64,0,106771.36853962108,526676.5036690605,952143.6653357617,1514903.364969007,1868730.9163220294,2149000.162426626,2465240.3578931247
65,0,98469.48575329052,522432.5091615043,952733.8470679899,1516505.5496882694,1876139.850576635,2153734.8606436285,2471830.241022723
66,0,87795.5533500644,518157.95908457186,953109.7496427742,1517954.4701896966,1883653.223702686,2158940.4832375357,2478518.7339157127
67,0,76761.59819260948,513694.0404587925,953261.9379156979,1519136.5125300295,1891541.2761524369,2164912.977329884,2485305.816691072
68,0,65409.938268864076,508960.89539736684,953196.1055422113,1522132.7993416856,1899620.5746526886,2170964.3939341092,2492191.7262896053
69,0,54259.67125336578,504242.75690765237,952693.0895632189,1524529.0038900536,1907982.5592041437,2177094.849276701,2499176.431037032
70,0,43145.06553708243,499391.84946901986,951393.9534520522,1526719.1805676878,1916405.1923507878,2183304.4655554704,2506260.0070177605
71,0,0.0,494183.6077404472,949932.8751346031,1528881.8237816168,1924801.527204531,2189593.3717594766,2513442.5383158964
72,0,0,488249.7970899948,947849.3256633128,1530880.5296619388,1933799.7500598978,2195961.7044704636,2520724.1178075825
73,0,0,482317.8738224003,944873.5033565385,1532628.7662575988,1943138.9225281011,2202409.608647822,2528104.8479229235
74,0,0,475642.6315722991,941924.4351891103,1534277.990340279,1952408.0230960937,2208937.238785872,2535584.8413797608
75,0,0,468584.03533779987,946918.357784702,1535930.7783594737,1961828.277960334,2215544.758725281,2543164.2218915173
76,0,0,461446.99516532477,947812.3256271963,1537578.9397174045,1971247.671028714,2222232.3430185886,2550843.124851184
77,0,0,454215.09540372365,949337.0709375517,1538715.5210204958,1980513.9815756583,2230207.7757030786,2558786.4031684063
78,0,0,446676.5802522669,951003.4338664535,1539507.2920600919,1989770.7305803949,2238617.016543137,2567265.069499505
79,0,0,438781.7810838602,952052.0025750686,1541303.912244292,1998997.6731320047,2247118.8402990378,2575851.8730980675
80,0,0,430843.85272029537,952804.6882598201,1542374.4527626045,2008075.5919338989,2255713.5938579924,2584547.1254007285
81,0,0,423582.28060137975,954000.6801654936,1544589.1420869473,2017493.4979997845,2264401.641414777,2593351.1079677404
82,0,0,416484.869479957,955033.623477471,1547405.0809700259,2027722.4161014142,2273183.4674245473,2602264.1176388967
83,0,0,409070.21862461825,955243.2998554952,1549706.0831385164,2037053.3469132835,2282059.280114062,2611286.466858768
84,0,0,401280.63480484666,955516.4096027191,1551727.4250637807,2046268.3973973983,2291029.591468346,2620418.4846670274
85,0,0,392256.5258963659,954855.9436439524,1553791.6835367952,2055270.5926277286,2300094.8420293294,2629660.517187174
86,0,0,382511.4119774146,953903.4100274912,1555182.3090708123,2064314.0720442368,2309255.4933208246,2639012.9282328296
87,0,0,372530.91532718303,952913.3245461865,1556364.7267495051,2073294.3753830374,2319096.9627591744,2648476.09990888
88,0,0,362698.07326902146,951194.1790304184,1556828.122316676,2082175.5974918865,2330593.748237534,2658050.4332087105
89,0,0,353068.59516908735,949195.5856624553,1556653.3578769374,2090988.3908767658,2342202.981672371,2667736.3486087057
90,0,0,343436.51739662664,948129.8960943379,1556028.398981464,2101052.7674972164,2353925.4308336945,2677534.2866611863
91,0,0,334011.95335371286,947244.3203332188,1555839.357308283,2110954.1644380246,2365761.893763218,2687444.708586895
92,0,0,323681.6985543804,944171.8124927572,1555336.5256479075,2120866.6429700484,2377691.6863720748,2697607.3351489073
93,0,0,311716.0163211132,940640.1045080354,1554777.3851743045,2131216.441730644,2389718.8426356767,2708645.8580556978
94,0,0,299249.0100718636,937169.0315226116,1554697.743435767,2141372.6971609644,2401859.3178090956,2719809.1462985007
95,0,0,286476.7943316897,934634.5136690798,1554590.6282925457,2151288.301735599,2414113.9099900452,2731091.7426568996
96,0,0,273273.00872220675,930906.5045194873,1558900.5784585972,2160896.5081584384,2426483.4502045796,2742493.7955812053
97,0,0,260461.31563967463,926577.6366870154,1561351.3054182131,2170559.1420994177,2438968.803105639,2754021.0509475297
98,0,0,247994.25583711374,921736.9191114173,1563861.556551155,2179989.406449561,2452846.731255431,2765674.15670224
99,0,0,234313.33219633083,916247.3197326488,1566309.160652486,2189468.2343780994,2468465.4874654384,2777453.7866149144
100,0,0,219357.5873095225,910250.0448177762,1569162.703419128,2198884.9881704436,2484210.0389542235,2789356.5885289544
101,0,0,204056.45050314526,903865.1829943546,1571337.9028578782,2208604.2180651166,2500055.3909733254,2801375.2544414788
102,0,0,189375.8127579558,897478.4180553234,1573420.004829484,2218665.64899283,2516134.7518568076,2813521.1541402265
103,0,0,174775.07272050355,891346.2509213439,1574693.7838973082,2228278.8989502373,2532691.4824488964,2825795.01492617
104,0,0,159642.50140555584,885620.7687244425,1576334.7850172801,2238003.941940478,2549492.4534363383,2838197.592326232
105,0,0,144072.18921731692,880465.2581305687,1577035.680090265,2247259.1251870207,2566415.109038943,2850729.7848865194
106,0,0,129307.80060069445,874437.9655294078,1577430.3822354483,2256368.1396747935,2583551.459477651,2863392.189479719
107,0,0,113986.81610903676,868063.0434857756,1577485.0364924145,2265311.3178861146,2600709.10648724,2876460.155959339
108,0,0,0.0,861561.0512598066,1576939.8817627383,2275882.489075903,2618156.6759701893,2890687.3174230102
109,0,0,0,855013.1262340759,1576173.1082701373,2286581.0785838687,2635736.424335146,2905061.7319092974
110,0,0,0,849189.5674467912,1584015.5588697984,2297236.454424208,2654270.9146855306,2919584.5111737265
111,0,0,0,841135.886995194,1589085.6143289967,2307872.3577081114,2673072.9481641236,2934256.803638105
112,0,0,0,831674.173247756,1592016.365669769,2318527.528745351,2692046.921056967,2949079.794840405
113,0,0,0,822251.7818996334,1594283.5285503017,2328912.486776371,2711159.1242087414,2964054.7090344913
114,0,0,0,813245.9108544367,1596706.911932912,2339599.4410143914,2730218.6009120573,2979182.8101088926
115,0,0,0,803995.275272507,1598323.8580032848,2349988.2755350377,2749480.759522781,2994465.402708004
116,0,0,0,794260.1915711389,1599584.8833870501,2361148.66204008,2769500.119349598,3009903.833387788
117,0,0,0,784710.9782663628,1600794.4371463545,2371488.3360716086,2789091.234353504,3025499.49180779
118,0,0,0,775574.0184097581,1601868.3637980653,2381933.817244689,2808892.1098513845,3041253.811961354
119,0,0,0,765715.2933525611,1602864.9135891595,2392028.080113136,2828511.6657798947,3057168.2734460267
120,0,0,0,756506.3731495506,1603022.146100059,2401833.32903183,2848459.1016188976,3073244.4027762264
121,0,0,0,746714.7854983108,1602440.364854853,2412202.7646789527,2868249.89073969,3089483.7747403295
122,0,0,0,737009.7566333701,1602274.6432941316,2423626.4306761157,2888016.777325246,3106642.0583315855
123,0,0,0,727822.8402954474,1602297.5050048823,2434157.2435024804,2908382.2085314435,3125044.2569823056
124,0,0,0,717164.9288433522,1601976.198520453,2444883.0552034876,2929119.411619558,3143634.3624792695
125,0,0,0,706819.5029614451,1607714.1948152154,2455326.5349292476,2949755.416295547,3162414.4407872334
126,0,0,0,697225.5768425384,1615360.1364267117,2467143.1813050904,2970600.50627325,3181368.424322645
127,0,0,0,686451.6895359113,1622408.1896417076,2479104.0061841197,2991484.8285117038,3200486.082306064
128,0,0,0,675839.2081280077,1629272.8033436642,2490957.9442610727,3012254.4458980826,3219797.0387080964
129,0,0,0,664637.6637540207,1634995.9305358313,2502775.177406022,3033087.2992120865,3239303.515784291
130,0,0,0,651797.0218778943,1640361.2635267356,2514273.8424223666,3054012.6558498996,3259007.804462918
131,0,0,0,639142.3318093496,1644704.2824249181,2525716.854954187,3075052.915999175,3278912.2661269973
132,0,0,0,627013.7277415761,1648269.1625102235,2536866.9348878255,3096214.480938452,3299019.334970722
133,0,0,0,613316.2020477385,1651877.617032768,2548271.7758477367,3117529.38164401,3319331.520402263
134,0,0,0,597960.8450760039,1653827.7055992826,2558714.997964901,3139303.683647794,3339851.409515644
135,0,0,0,582007.1524765108,1655797.3107766802,2568456.0024969936,3162802.152906037,3360581.6696640654
136,0,0,0,565565.6388235455,1656112.0774779748,2578050.633230213,3186128.340638248,3381525.0511400467
137,0,0,0,548725.8900469784,1655484.7264267663,2587317.5390708093,3209294.411525135,3404426.940814153
138,0,0,0,530738.7989443361,1655645.106001474,2597335.428851064,3232557.5479095033,3428341.6747267824
139,0,0,0,511958.25938993547,1655767.9657635705,2607672.3810089277,3256171.3234347682,3452506.3118117694
140,0,0,0,492555.9794653738,1654258.6447475054,2616998.4055876504,3279860.9564571683,3476924.628032984
