C,W(B=10°),W(B=20°),W(B=30°),W(B=40°),W(B=50°),W(B=60°),W(B=70°),W(B=80°)
38,0,196520.7984025092,437890.00887414155,674687.615651197,1094884.109955973,1328474.0066428694,1604179.0924105071,1856264.4952067113
39,0,192468.92807140521,439991.74993869493,669776.9932020319,1095013.3861882729,1332682.6952556514,1604705.0339551016,1858616.2103104778
40,0,188155.5322522552,441495.5802670802,664746.8051620645,1095105.5581688378,1336935.6806235712,1605265.6106298282,1861036.515064211
41,0,183643.84183132352,442657.1203454842,659595.2157440305,1095159.567660629,1341235.257072638,1605861.0551712043,1863525.614831725
42,0,179093.83177781268,443902.36560263985,656370.9509520974,1095174.3546518884,1345569.8587636072,1606491.554117388,1866083.6753001867
43,0,174125.5745949814,444298.6664833655,655853.0544676571,1095148.8573863546,1349927.9270176552,1607157.2676702493,1868710.8254965493
44,0,168994.4047148936,444247.8098909966,656516.7628745346,1095082.012376899,1354308.8526561325,1607858.3263324068,1871407.1606487464
45,0,163404.25077363866,444483.1086278458,657237.7826325197,1094972.7544051441,1358712.043924335,1608594.8225050503,1874172.7472310616
46,0,157778.39039251048,444758.53836182744,658084.7185204237,1094820.016509307,1363136.927625088,1609366.8182936287,1877007.619619708
47,0,152153.87750790644,444635.61982542987,658744.623496726,1094622.7299621697,1367582.9484715923,1610174.3473392937,1879911.7865466136
48,0,146455.3071494226,444221.19841679826,659616.4800834745,1094379.8242408053,1372049.568314784,1611017.4166008935,1882885.233697312
49,0,140582.5506092333,443713.07653156685,660186.0996999461,1094089.7931239808,1376536.2664598383,1611896.0080840108,1885927.9250841546
50,0,134591.07290282837,443338.9948335899,665056.9969186472,1093740.9222919247,1381042.6077076485,1612810.080514421,1889039.805073648
51,0,128547.33947050782,442703.2417795899,668135.0442357607,1093341.4480309773,1385567.6135124818,1613759.569997602,1892220.800295012
52,0,122352.27091786049,441927.9001680687,671776.4707949808,1092883.259239282,1390108.8742399889,1614744.3960339178,1895470.821437379
53,0,116022.87054680378,441286.1247435627,675531.7311089131,1092369.5208173716,1394667.4306111217,1615764.47047623,1898789.7649400707
54,0,109398.38563998007,440476.19815209863,678922.2228599128,1091800.7391679545,1399242.7366546474,1616819.6722358,1902177.514582936
55,0,102559.39294219374,439499.87423993665,682437.5542109367,1091170.9229228017,1403831.4151153415,1617909.855789109,1905634.017074038
56,0,95700.21921157443,438498.68781027134,685462.2113303479,1090471.7577053336,1408435.0478566014,1619034.8721081407,1909159.069468808
57,0,88761.43682136606,437112.2009416573,688882.4434812362,1089712.7135971922,1413053.2751297923,1620194.5368281042,1912752.523901639
58,0,81623.49060342122,435725.34226281755,691524.3105597411,1088892.4939225337,1417679.6161985253,1621388.6586480057,1916414.2277840865
59,0,74060.89008610461,434242.85729637195,693974.1882339307,1088009.7970477538,1422316.7764465827,1622617.089042981,1920144.0224929345
60,0,65036.992671482316,432151.9103392222,696092.2993121884,1087063.316341609,1426965.7903883136,1624151.7526111067,1923941.7273806836
61,0,55417.42978585074,429743.06973599084,698112.8769074669,1086051.7401866543,1431626.071879819,1625885.791632264,1927807.1913952576
62,0,45299.85578938682,427142.03313356894,700121.4342938822,1084973.7519909502,1436297.0434182363,1628028.7109985594,1931740.0905558981
63,0,34795.228973375364,424048.61693918257,701775.8039560225,1083828.0047021082,1440978.1360611108,1630432.5138275155,1935740.2348442161
64,0,23935.856042788615,420471.7742078713,703058.144741371,1082613.2204871266,1445668.7893616946,1633861.1336779504,1939807.6104373238
65,0,0.0,416631.9767360401,704483.8659662313,1081328.0444926035,1450368.451317609,1637852.1051185678,1943942.0434576164
66,0,0,412257.548125332,706062.2919944105,1079971.140252376,1455076.578337189,1642546.0253577712,1948143.360538386
