C,W(B=10°),W(B=20°),W(B=30°),W(B=40°),W(B=50°),W(B=60°),W(B=70°),W(B=80°)
56,0,163256.22177768272,604831.6310316129,897204.1024252619,1383208.2948089729,1727487.8036499424,1978151.2019332417,2305102.6261653127
57,0,154866.5072410244,603673.706485773,909080.0392666137,1384123.0223408553,1734389.1242162045,1980432.467735383,2310163.6994105186
58,0,145931.17371239388,602167.5253346427,919831.464890207,1384996.267932893,1741345.4594704832,1982763.6901966168,2315314.9579342958
59,0,136723.9517937838,600411.3666056757,930798.82372288,1385826.7863742504,1748356.5336579774,1985144.6894185198,2320556.237474413
60,0,127499.72364399661,598489.0666687923,941463.8547018489,1386613.3321494507,1755422.0843651711,1987575.3305284115,2325887.3679466634
61,0,117905.84885204189,596248.0867096891,950884.1525857603,1387354.6598054522,1762541.863096775,1990055.4505639062,2331308.17468708
62,0,107962.9392825011,593785.0934326521,961276.5389003801,1388049.524320293,1769715.6355795776,1992584.8782979797,2336818.479626252
63,0,97734.84479297297,591154.3218922317,970404.9981084089,1388696.6814738694,1776943.1821600585,1995163.435339766,2342418.102400098
64,0,87095.23748329595,588229.0648711388,979759.1428498162,1389294.888221418,1784224.298210912,1997790.9371868204,2348106.8614012063
65,0,76222.24991602953,584914.7275354305,989453.1208478864,1389842.9030702633,1791558.7945477879,2000467.1942305965,2353884.57477465
66,0,65230.04794361451,581488.0093674215,997939.9783734359,1390339.4864603966,1798946.4978574608,2003192.01271697,2359751.061361945
67,0,54115.306636126414,577879.456269415,1006163.8265828806,1390759.967872918,1806376.416200989,2005964.3376299308,2365706.2723526545
68,0,43067.56550871336,573945.1110291955,1013375.7694535981,1391121.0528745004,1813856.2087559015,2009826.8823982954,2371749.9257656853
69,0,31745.673520018947,569754.0081325218,1020101.8621170616,1391424.1749847739,1821386.9062193192,2015133.811977089,2377881.8322874038
70,0,20111.572722559777,565370.3330033398,1026613.6277878359,1391667.9980605254,1828968.3034928595,2020499.8545529137,2384101.8223411217
71,0,0.0,560735.9160258324,1033182.7706186159,1391851.2038375707,1836600.2130913767,2026216.2661758894,2390409.7311053043
72,0,0,555831.8488032175,1040143.2331632399,1391972.4659113134,1844282.4656556696,2033558.1837549077,2396805.3992128875
73,0,0,549426.455807092,1046917.9928004307,1392035.540247874,1852014.910481693,2040968.3847103044,2403288.673419242
74,0,0,542038.3830625296,1052771.154480149,1392107.8599619525,1859797.4160670552,2048446.807889877,2409859.4072410744
75,0,0,534052.9394477755,1058502.937913022,1392137.181467109,1867629.870675613,2057468.7594575335,2416517.4615684366
76,0,0,524747.6651319374,1063434.8923218008,1392118.746697752,1875512.1829209041,2066785.5388330119,2423262.705251845
77,0,0,514906.7222774777,1068640.3192702373,1392000.433483733,1883444.2823692188,2076466.846749107,2430095.015666455
78,0,0,504490.45527170715,1073430.1985410252,1391810.654514848,1891426.120163066,2087081.7859568263,2437014.279255097
79,0,0,493376.63841065415,1077545.6937875873,1391519.2736206236,1899457.6696658384,2098508.444504456,2444020.392051855
80,0,0,481512.7739325647,1081159.1232947723,1391156.2603792357,1907539.0128738813,2111035.5869096294,2451113.260187851
81,0,0,469381.75211750204,1085114.5345099766,1390781.5285188782,1915670.0040581394,2123786.551234023,2458292.8003807203
82,0,0,456098.7706793964,1088329.7329152848,1390494.2414686303,1923846.348204421,2136657.433802438,2465558.9404092594
83,0,0,441948.29423106293,1091060.311292457,1390146.0501860129,1932062.9273663075,2149648.9055329887,2472911.619574601
84,0,0,426961.0796410283,1093545.171033646,1389748.229087342,1940327.7012513543,2162761.6637277524,2480350.789149239
85,0,0,410403.34116476635,1095829.624089071,1389234.8748743061,1948640.6929094288,2175996.432616681,2487876.4128151364
86,0,0,393854.64562774904,1098697.5784467421,1388659.060134677,1957001.950597409,2189353.6493628076,2495488.4670921103
87,0,0,377602.18533487467,1100508.251601884,1388241.1768599076,1965411.5486051855,2202834.0143520255,2503186.941757615
88,0,0,361547.40598313685,1101299.9390813587,1387970.720948637,1973869.588103457,2216438.3782126075,2510971.842272628
89,0,0,345826.12403140333,1101736.8934839042,1396692.4730038012,1982376.1980201784,2230167.5133480257,2518843.2072657812
90,0,0,329982.05468984676,1101847.1213975411,1408530.393028873,1990931.5359468064,2244022.2212143415,2526834.923072098
91,0,0,314518.7904864055,1101178.7389126213,1423754.1780914757,1999535.7890735364,2258003.3331413134,2534916.536240896
92,0,0,298853.48217039154,1099754.6051324045,1443710.7032856715,2008189.175163095,2272111.711182533,2543085.7191101206
93,0,0,283132.7359694949,1097973.8931168455,1464096.225741823,2016891.9435518694,2286348.248997907,2551342.559047492
94,0,0,267784.70904415625,1095846.9329420947,1483708.2102963275,2025644.376186553,2300713.872766584,2559687.159510396
95,0,0,252838.55508936942,1093427.878301316,1503940.5776594295,2034446.7886995003,2315209.5421324177,2568119.6404349143
96,0,0,238715.38804067456,1090577.382902598,1523095.197835584,2043299.5315211893,2329836.2511830674,2576640.138625237
97,0,0,225032.55576688,1087516.0158739297,1541828.7546087303,2052202.9910323552,2344595.029463687,2585248.808143663
98,0,0,211071.2349645151,1084244.220671932,1559791.7939383362,2061157.59075753,2359486.9430263615,2593945.820702012
99,0,0,196679.67902161245,1080743.6888649138,1577153.7448846272,2070163.7926018408,2374513.0955164945,2602731.3660552106
100,0,0,181776.11869795359,1077077.523475476,1594836.6429365154,2079222.0981330192,2389674.629297462,2611605.6523978584
101,0,0,166373.91618311478,1073374.8029848442,1611169.2155699981,2088333.0499106662,2404972.7266148813,2620568.9067645143
102,0,0,150444.3774289272,1069546.5173409267,1626243.307649254,2097497.2328649745,2420408.760511152,2629621.3754344904
103,0,0,134037.4093975245,1065588.819249929,1646552.434416887,2106715.275727185,2435983.7104390296,2638763.32434189
104,0,0,117039.50453720069,1061613.5728843424,1673358.793061876,2115966.286692206,2451699.023149645,2647995.039491666
105,0,0,99505.23058487287,1057461.2249767275,1694091.0460730556,2125255.95129462,2467556.052967184,2657345.14352495
106,0,0,81447.59004275137,1053210.323644401,1713089.7698101627,2134598.520150314,2483556.2005721843,2666869.3125402196
107,0,0,62939.13259990892,1048826.8699226442,1731854.487177697,2143994.6911222953,2499700.914437691,2676486.7482038955
108,0,0,44030.412447315466,1044395.3006172889,1747680.271877503,2153445.2115020724,2515985.9465153,2686197.8500685827
109,0,0,24626.608497277095,1039706.7085359547,1762804.5350614088,2162950.8797649513,2532414.458386288,2696003.0399362356
110,0,0,0.0,1034476.0249394447,1777148.7506673322,2172512.547374291,2548990.808349036,2705902.762572049
111,0,0,0,1028507.1275101225,1790428.6116948707,2182131.1206577066,2565716.5696972893,2715897.523596321
112,0,0,0,1021997.618227155,1803356.5387667334,2191807.562758894,2582593.369999578,2725987.803194608
113,0,0,0,1015171.7683965813,1815560.233402043,2201542.895645235,2599622.892850825,2736189.741804115
114,0,0,0,1007754.3808568554,1827526.6693584404,2211338.2022890607,2616806.8797048125,2746706.640027155
115,0,0,0,999874.8292240048,1839605.1066199597,2221194.699784374,2634147.131753357,2757325.32134309
116,0,0,0,991480.8504243321,1850992.3428291408,2231113.4627480595,2651645.511890088,2768046.438249049
117,0,0,0,982557.8574398722,1861040.0398170108,2241095.8369509405,2669303.946746094,2779689.9274985343
118,0,0,0,973138.1075831387,1871094.959680537,2251143.172198807,2687124.4288038155,2793775.0061210105
119,0,0,0,963271.6974618321,1881617.7235006995,2261227.898254528,2705109.0185930426,2810237.220186581
120,0,0,0,952744.6289130969,1893916.235611251,2271354.4953980986,2723259.8469729405,2828932.019941316
121,0,0,0,941678.8868269573,1908381.8086196557,2281546.9810934947,2741579.1175043457,2850339.866159186
122,0,0,0,927677.7590766705,1921208.1171986545,2291806.8990678247,2760069.108916771,2871996.423239042
123,0,0,0,906514.8648255848,1931687.2642778042,2302135.8752696067,2778720.298165072,2893867.7076978968
124,0,0,0,882986.4569852797,1940743.5699933767,2312535.6210355535,2797538.92720407,2915956.0831439593
125,0,0,0,858966.1873928698,1948895.9296958945,2323007.9363903455,2816533.7995069763,2938263.978551747
126,0,0,0,835926.3644176825,1956476.3329895174,2333554.7134991544,2835707.448861953,2960793.5278679803
127,0,0,0,812564.263103117,1963487.4224109629,2344177.9402794586,2855062.496867977,2983547.0908908513
128,0,0,0,788384.0380039725,1970262.8496714677,2354879.7041860116,2874601.6560432045,3006527.570710052
129,0,0,0,763109.1679790292,1977023.457211844,2365662.1961874296,2894327.733096482,3029737.644595492
130,0,0,0,738027.9826153368,1985404.5877041237,2376527.7149090315,2914243.6322694537,3053180.065807116
131,0,0,0,714614.2556861648,1993401.9267832437,2387432.603079013,2934352.3588774875,3076857.6661560475
132,0,0,0,688821.3432090714,2001003.5496232978,2398440.828301159,2954657.0229921457,3100773.358668579
133,0,0,0,661365.2526621833,2007329.960523531,2409575.2343502156,2975160.843287191,3124930.1403578366
134,0,0,0,632928.3386926445,2012850.5592697782,2420872.217337341,2995852.3280281895,3149331.0951085673
