C,W(B=10°),W(B=20°),W(B=30°),W(B=40°),W(B=50°),W(B=60°),W(B=70°),W(B=80°)
137,0,0,0,121430.42213562,699587.8812909527,1203295.5952339377,1555327.3293231248,1697968.0842429255
138,0,0,0,110027.96062909123,695982.5265427171,1206319.7738389948,1564905.5253430961,1708652.2435727664
139,0,0,0,98196.05278832332,695178.8236633921,1209322.8711049382,1574585.8370916983,1720511.0744291472
140,0,0,0,85927.43928337167,696323.4340829435,1212490.3584749352,1584483.7072117226,1732537.2040900607
141,0,0,0,73778.97209537147,697024.9538712098,1216554.6835403156,1594385.901643173,1744672.7284398712
142,0,0,0,61045.15597240042,697636.0958450127,1221322.5208519169,1604322.3412211605,1756904.8966643435
143,0,0,0,0.0,697767.0089806779,1225919.8489569828,1614315.8586457605,1769243.0253593184
144,0,0,0,0,697516.6734306982,1230394.6771645125,1624367.680578204,1781683.249165822
145,0,0,0,0,696998.0529694827,1234869.898232721,1634488.0561214548,1794224.5750286884
146,0,0,0,0,696336.3131575512,1239153.9658116656,1644673.8178199087,1806882.441280342
147,0,0,0,0,695517.8293513488,1243399.6235246998,1654933.522208777,1819704.501539386
148,0,0,0,0,694461.0993619969,1247620.2200022566,1665668.4495940085,1832747.6984335638
149,0,0,0,0,693014.938591566,1251922.1471502166,1676723.1468730364,1845879.3484237457
150,0,0,0,0,691440.622706002,1256282.8155801448,1687782.9413870524,1859126.0080834862
151,0,0,0,0,689400.9936035061,1260517.1894508807,1698857.6046948347,1872564.8541935002
152,0,0,0,0,686376.8820737863,1264573.554721221,1709987.0380811288,1886128.9544680973
153,0,0,0,0,682727.9949863515,1268612.957776705,1721184.5140517058,1900488.0969602186
154,0,0,0,0,678331.0643167213,1272461.5513416925,1732470.1788817814,1915963.1744721518
155,0,0,0,0,673384.137482823,1276088.8989192192,1743807.8417432995,1931573.973950134
156,0,0,0,0,668121.6818758823,1279410.6772594848,1755178.462790776,1947322.96534926
157,0,0,0,0,662368.6555952696,1282392.6856954459,1767026.216547555,1963228.1061051511
158,0,0,0,0,656168.5741213289,1284518.4378112364,1778898.8196815345,1979276.654915183
159,0,0,0,0,649470.1993315441,1285474.0709368973,1789235.772278158,1995519.0614796188
160,0,0,0,0,641399.1914453522,1286149.6198446183,1799373.5381088874,2011084.6146654373
161,0,0,0,0,632545.2168705399,1289380.1963462918,1809526.3715700554,2026360.9311590549
162,0,0,0,0,623289.0421755519,1292829.916748315,1819652.5929570517,2041779.2052962778
163,0,0,0,0,613690.8862855617,1295914.294655816,1829688.9513814116,2057325.6933049695
164,0,0,0,0,603856.7785158439,1298734.7536531305,1839625.412772119,2073019.2755260458
165,0,0,0,0,593932.3544582756,1301443.6243448746,1849540.3978110978,2088789.512812329
166,0,0,0,0,583959.3407588224,1304127.4234141733,1859401.848074213,2104692.3551539043
167,0,0,0,0,573561.0298014281,1306618.039285178,1869308.66323804,2120718.626264477
168,0,0,0,0,563877.0952363925,1309177.0413944789,1879273.202176435,2136883.509707763
169,0,0,0,0,553786.705189078,1311595.6479128387,1889312.0660256925,2153188.959868279
170,0,0,0,0,542938.5842838751,1314058.6401004575,1899520.190263238,2169656.686523043
171,0,0,0,0,531594.6446304573,1316552.5051066785,1909970.608210154,2186274.9603765043
172,0,0,0,0,519961.2332778423,1318885.2668078926,1920464.782013515,2203039.4371742047
173,0,0,0,0,507971.63177492126,1320893.827940408,1930965.1814830648,2220009.2079190854
174,0,0,0,0,495658.8882655827,1322696.9643708486,1941507.685773408,2237181.797322605
175,0,0,0,0,482865.98652973864,1324247.6205393567,1952506.0255261099,2254482.4991289773
176,0,0,0,0,469390.22798371426,1325551.8845086398,1964353.345639668,2271924.9104095427
177,0,0,0,0,455455.82378872467,1326723.976382298,1976251.8806292585,2289551.2474050415
178,0,0,0,0,441512.3082252632,1327742.5530280217,1988248.9324894566,2307366.132833073
179,0,0,0,0,427115.06475016393,1328340.9884327427,2000189.4248951068,2325342.929850841
180,0,0,0,0,412430.67020974023,1328732.5967851263,2012183.5040733102,2343480.4753855937
181,0,0,0,0,397777.7826132002,1333887.4092515276,2024314.4114945114,2361901.0833185012
182,0,0,0,0,383220.41801703547,1339186.2985161701,2036526.1545269303,2380524.022876062
183,0,0,0,0,368793.7819888833,1342988.458863188,2047826.2346846142,2399334.606148753
184,0,0,0,0,354021.62813676393,1345441.1035960787,2057947.593686125,2418315.001373014
185,0,0,0,0,339241.2214922668,1347472.406425706,2068146.8428203557,2435548.142902496
186,0,0,0,0,322963.8996154314,1348395.4330650014,2078653.3103159133,2452903.9202088364
187,0,0,0,0,306307.37120566034,1348870.7192313704,2089150.1838129363,2470328.6064129453
188,0,0,0,0,289477.48133744067,1348724.5100185017,2099671.067280636,2487881.9653062555
189,0,0,0,0,272614.3984695419,1348083.8844598662,2110089.24367281,2505559.269555977
190,0,0,0,0,255472.3241500531,1346896.65398717,2120348.201833966,2523347.6973349024
191,0,0,0,0,238328.47138833694,1345940.941401363,2130499.9211621536,2541299.9713853933
192,0,0,0,0,221182.85047626263,1345038.271187187,2140400.748609384,2559454.1956584263
193,0,0,0,0,203757.88088106454,1343279.4058296205,2150115.3082561214,2577793.0545021603
194,0,0,0,0,186061.77930358695,1341083.6414903714,2159687.3360535093,2596552.115178947
195,0,0,0,0,168048.06000895836,1338349.451645471,2169116.809894783,2615446.566832462
196,0,0,0,0,149430.59749427508,1335243.1409906198,2178527.177972678,2634453.0772670414
197,0,0,0,0,130601.72036567544,1332026.936885998,2187870.394905531,2653569.516056757
198,0,0,0,0,110835.63376290172,1328300.5634293598,2197140.836749992,2672751.334917512
199,0,0,0,0,90616.00965510154,1324137.1617897018,2206386.8614585693,2692130.4086900507
200,0,0,0,0,0.0,1319518.4257955067,2215582.7692456283,2711739.9803925087
201,0,0,0,0,0,1318602.52665295,2224746.34816478,2731511.361488867
202,0,0,0,0,0,1320147.1111251505,2234046.324522032,2751437.2614009893
203,0,0,0,0,0,1321001.4629385301,2243974.325361304,2771478.7987682982
204,0,0,0,0,0,1319057.8819216515,2253236.463789153,2791175.98306125
205,0,0,0,0,0,1316743.8145804906,2262263.415435787,2809240.447324343
206,0,0,0,0,0,1313983.9944246642,2271409.8147102008,2827421.165716863
207,0,0,0,0,0,1310521.7283458204,2280389.0179779334,2845721.626702678
208,0,0,0,0,0,1306638.6766629014,2289238.0493836896,2864134.7368960455
209,0,0,0,0,0,1302355.9320166039,2297926.2833227157,2882678.1848813216
210,0,0,0,0,0,1297955.6811243466,2306679.5047680773,2901325.700018675
211,0,0,0,0,0,1293022.1708189356,2315442.9604048906,2920092.877184014
212,0,0,0,0,0,1287650.876128264,2324046.2900038785,2938970.4762295517
213,0,0,0,0,0,1281979.5039108803,2332429.402710456,2957969.849705273
214,0,0,0,0,0,1276042.1700073413,2340875.2492106315,2977164.62191474
215,0,0,0,0,0,1270150.5180722745,2349857.33434777,2996628.027547039
216,0,0,0,0,0,1263617.8256967263,2358811.7647682917,3016293.8932292876
217,0,0,0,0,0,1256005.4472788684,2367523.3792176214,3036050.612659028
218,0,0,0,0,0,1247805.7705861044,2376200.796672838,3055869.1935489154
219,0,0,0,0,0,1238944.0975203288,2383370.8251343556,3075820.680580034
220,0,0,0,0,0,1228899.5753725455,2388761.022953258,3095683.5658510854
221,0,0,0,0,0,1217181.4823803708,2393859.0785788354,3113590.4546553213
222,0,0,0,0,0,1204802.642323387,2398799.918337433,3131853.4518418517
223,0,0,0,0,0,1191686.2194260028,2403492.8238879293,3150141.1880710004
224,0,0,0,0,0,1178233.781410782,2408083.1564970133,3168457.681838803
225,0,0,0,0,0,1164224.8436847841,2412340.631180641,3186816.125621397
226,0,0,0,0,0,1149938.0728946936,2416268.31690461,3205212.8811870394
227,0,0,0,0,0,1135337.5058091471,2420039.4344637874,3223614.5756024537
228,0,0,0,0,0,1120689.253243377,2423672.429790422,3242058.1299874266
229,0,0,0,0,0,1105749.7769042023,2427189.290859164,3260510.133720324
230,0,0,0,0,0,1090450.2567489697,2430514.019969533,3279023.970434259
231,0,0,0,0,0,1074434.74515252,2437621.453506861,3297676.682247331
232,0,0,0,0,0,1058162.392385492,2444381.903888631,3316449.251289469
233,0,0,0,0,0,1041365.3351950578,2448807.2888754997,3335326.085307567
234,0,0,0,0,0,1024234.2843001998,2452872.8079360696,3352266.0045577083
235,0,0,0,0,0,1006474.2784683557,2456357.861068828,3368491.391388487
236,0,0,0,0,0,988616.3285115962,2459045.2559516374,3384786.471922135
237,0,0,0,0,0,970513.032156023,2461292.6631462886,3401495.4515013555
238,0,0,0,0,0,951970.2509777436,2463006.0095826904,3418195.5490259686
239,0,0,0,0,0,933553.3151012037,2464279.1897028983,3434826.708283678
240,0,0,0,0,0,915392.0190258151,2465087.6346745077,3451390.307566128
241,0,0,0,0,0,896491.1353815546,2465454.6907090163,3467978.536452136
242,0,0,0,0,0,876032.8708265855,2465510.109178115,3484413.4984189766
243,0,0,0,0,0,851549.078991493,2465484.0306375017,3500816.9623282384
244,0,0,0,0,0,850738.8453710589,2464471.134192349,3517225.9085841356
245,0,0,0,0,0,823161.0786622114,2463262.6110157715,3531496.479326199
246,0,0,0,0,0,801925.375520114,2461378.3226115284,3545144.299522274
247,0,0,0,0,0,781225.0781464569,2459118.611613943,3558638.1762987156
248,0,0,0,0,0,760667.0324729186,2456690.9234777563,3571951.1135122925
249,0,0,0,0,0,739942.8462612065,2453812.093047633,3585240.003663431
250,0,0,0,0,0,719039.340681669,2450712.9985106653,3598478.9442106676
251,0,0,0,0,0,697646.9756391139,2447138.228453015,3611669.291884065
252,0,0,0,0,0,675626.5335806849,2443293.402192226,3624792.086524032
253,0,0,0,0,0,653603.1237312079,2439198.6774150925,3637842.137710086
254,0,0,0,0,0,631234.2480364783,2434406.9837791254,3648921.5894368994
255,0,0,0,0,0,608607.5568829197,2429449.167496065,3659730.1991075664
256,0,0,0,0,0,586112.1634415538,2424129.8498983355,3670414.393652567
257,0,0,0,0,0,563401.7542585997,2418499.298893474,3680994.3987747827
258,0,0,0,0,0,540464.177744826,2412851.390257402,3691454.447304259
259,0,0,0,0,0,517533.04208262276,2411204.4438536703,3701816.778533183
260,0,0,0,0,0,494631.8970138905,2410429.1052514603,3711977.3894560714
261,0,0,0,0,0,471665.2135745866,2409118.0431897864,3720916.479358315
262,0,0,0,0,0,449151.23309768015,2407185.4849391524,3730688.950721665
263,0,0,0,0,0,427675.3106044846,2405061.314792573,3740729.9266023287
264,0,0,0,0,0,405950.86004222283,2402384.3549829125,3750721.747882723
265,0,0,0,0,0,383576.2277290204,2399571.516682653,3760496.9433674095
266,0,0,0,0,0,361137.03808843234,2396332.090847821,3769635.496670657
267,0,0,0,0,0,338600.0411393441,2392607.2155851675,3777715.6206782456
268,0,0,0,0,0,316618.8853773688,2388667.117332982,3785481.957845502
269,0,0,0,0,0,294601.2834476045,2384225.6613115463,3792991.915933309
270,0,0,0,0,0,272462.31510423764,2379506.776325674,3800284.271706053
271,0,0,0,0,0,250268.44036084306,2374173.133636642,3806966.138802926
272,0,0,0,0,0,228556.34726126323,2367907.7333057555,3812987.508335675
